,ts_code,symbol,name,area,industry,list_date,pe,pe_ttm,pb,total_mv,circ_mv
3392,603444.SH,603444,吉比特,福建,互联网,20170104,26.0496,21.2559,6.4297,1883314.295,1088534.7012
3393,603456.SH,603456,九洲药业,浙江,化学制药,20141010,72.2365,57.3073,4.1253,1135178.2807,1131860.9311
3394,603458.SH,603458,勘设股份,贵州,建筑工程,20170809,9.8264,9.2211,1.4312,346760.6288,234564.4022
3395,603466.SH,603466,风语筑,上海,文教休闲,20171020,23.7598,20.3977,3.1111,501228.218,153106.9574
3396,603477.SH,603477,振静股份,四川,纺织,20171218,53.0661,65.7418,3.6881,312960.0,148004.0
3397,603486.SH,603486,科沃斯,江苏,家用电器,20180528,23.157,37.6006,4.4609,1123310.424,357500.9687
3398,603488.SH,603488,展鹏科技,江苏,电气设备,20170516,23.9973,21.7646,2.0729,177599.85,82255.5795
3399,603489.SH,603489,八方股份,江苏,电气设备,20191111,,,,,
3400,603496.SH,603496,恒为科技,上海,IT设备,20170607,35.3816,39.6042,4.5766,372095.5214,200543.6912
3401,603499.SH,603499,翔港科技,上海,广告包装,20171016,43.2207,67.3265,3.8173,207748.0754,52047.4476
3402,603500.SH,603500,祥和实业,浙江,运输设备,20170904,26.3182,21.489,2.4853,216795.6,61941.6
3403,603501.SH,603501,韦尔股份,上海,半导体,20170504,705.9033,3498.9209,12.8247,9798246.5018,1594374.0449
3404,603505.SH,603505,金石资源,浙江,矿物制品,20170503,32.3107,19.1347,4.6161,444720.0,207600.0767
3405,603506.SH,603506,南都物业,浙江,房产服务,20180201,29.4808,24.0569,3.8954,270668.2557,67667.0634
3406,603507.SH,603507,振江股份,江苏,钢加工,20171106,39.8483,2145.1413,1.7523,242073.846,151912.6434
3407,603508.SH,603508,思维列控,河南,软件服务,20151224,56.6391,13.3543,2.4666,1063857.7967,861096.1589
3408,603515.SH,603515,欧普照明,上海,电气设备,20160819,22.8108,22.0291,4.3054,2051200.9673,2044947.3043
3409,603516.SH,603516,淳中科技,北京,通信设备,20180202,52.5535,39.5038,5.4863,446460.9804,300934.8612
3410,603517.SH,603517,绝味食品,湖南,食品,20170317,40.4948,33.7959,7.1794,2594217.5127,1057369.7482
3411,603518.SH,603518,锦泓集团,江苏,服饰,20141203,6.2252,10.2292,0.7058,169846.6185,167198.8521
3412,603519.SH,603519,立霸股份,江苏,家用电器,20150319,38.8745,24.667,4.971,355547.6653,355547.6653
3413,603520.SH,603520,司太立,浙江,化学制药,20160309,77.3567,49.5263,7.3463,724649.4426,724649.4426
3414,603527.SH,603527,众源新材,安徽,铜,20170907,19.1352,19.8201,1.9877,179036.48,110537.5011
3415,603528.SH,603528,多伦科技,江苏,软件服务,20160503,31.3006,30.9969,2.7183,422527.23,419293.041
3416,603530.SH,603530,神马电力,江苏,电气设备,20190805,63.3533,62.765,7.4933,770085.6433,77085.6433
3417,603533.SH,603533,掌阅科技,北京,互联网,20170921,41.5923,43.7275,4.8785,579445.0,235753.9681
3418,603535.SH,603535,嘉诚国际,广东,仓储物流,20170808,20.4725,19.6241,1.7875,281548.8,123701.76
3419,603536.SH,603536,惠发食品,山东,食品,20170613,38.2853,,2.9054,174048.0,62423.2134
3420,603538.SH,603538,美诺华,浙江,化学制药,20170407,37.3781,22.52,2.771,360134.892,220098.9552
3421,603555.SH,603555,贵人鸟,福建,服饰,20140124,,,1.464,224410.9651,224410.9651
3422,603556.SH,603556,海兴电力,浙江,电器仪表,20161110,23.6978,18.5294,1.5367,781838.7938,267063.7503
3423,603557.SH,603557,起步股份,浙江,服饰,20170818,24.6156,24.1315,2.6376,444836.7992,205330.5056
3424,603558.SH,603558,健盛集团,浙江,纺织,20150127,19.0992,15.1443,1.3067,394289.4625,363873.5887
3425,603559.SH,603559,中通国脉,吉林,通信设备,20161202,56.9453,46.5986,3.1489,280607.2593,164852.9681
3426,603566.SH,603566,普莱柯,河南,生物制药,20150518,54.0509,65.685,4.4855,733010.88,733010.88
3427,603567.SH,603567,珍宝岛,黑龙江,中成药,20150424,21.2273,22.9523,1.8981,981628.96,981628.96
3428,603568.SH,603568,伟明环保,浙江,环境保护,20150528,28.1861,22.9779,5.6317,2085930.7007,2078948.467
3429,603569.SH,603569,长久物流,北京,仓储物流,20160810,15.4827,22.2012,2.591,624145.8342,624145.8342
3430,603577.SH,603577,汇金通,山东,钢加工,20161222,71.2082,44.5638,1.8418,226084.6584,85111.9432
3431,603578.SH,603578,三星新材,浙江,玻璃,20170306,28.288,29.9946,2.9473,169876.35,60514.3
3432,603579.SH,603579,荣泰健康,上海,医疗保健,20170111,16.6735,15.1447,2.6577,415520.0,152614.56
3433,603580.SH,603580,艾艾精工,上海,化工原料,20170525,45.116,51.6891,3.9378,161512.0752,52194.0552
3434,603583.SH,603583,捷昌驱动,浙江,电气设备,20180921,26.4579,21.0538,3.8482,671844.1238,399478.741
3435,603585.SH,603585,苏利股份,江苏,化工原料,20161214,11.8922,11.3273,1.9544,371160.0,111348.0
